Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2012-01-11 19:00:00,MISSING PERSON,FOUND PERSON,Wednesday,SOUTHERN,LOCATED,0 Block of MOSS ST,-122.407999186749,37.7778241673064
2003-10-03 23:00:00,ASSAULT,THREATS AGAINST LIFE,Friday,RICHMOND,DISTRICT ATTORNEY REFUSES TO PROSECUTE,4400 Block of CALIFORNIA ST,-122.465100930961,37.7848677303793
2006-01-26 18:35:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,MISSION,NONE,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
2005-04-04 11:00:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,MISSION,NONE,700 Block of GUERRERO ST,-122.423445847258,37.759158253630794
2009-08-19 18:20:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Wednesday,MISSION,"ARREST, CITED",19TH ST / SHOTWELL ST,-122.415929849548,37.7604330003754
2004-03-02 00:01:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,NORTHERN,"ARREST, CITED",HAIGHT ST / FILLMORE ST,-122.430436523482,37.7721069661715
2014-01-11 17:35:00,ASSAULT,ATTEMPTED HOMICIDE WITH A GUN,Saturday,MISSION,NONE,24TH ST / SHOTWELL ST,-122.41517366580099,37.7524407589917
2005-05-17 16:00:00,ASSAULT,THREATS AGAINST LIFE,Tuesday,PARK,NONE,800 Block of BRODERICK ST,-122.440190247409,37.7780493064201
2006-08-23 14:12:00,TRESPASS,TRESPASSING,Wednesday,BAYVIEW,"ARREST, BOOKED",200 Block of CAMERON WY,-122.38837455031602,37.7204312224247
2006-04-18 08:31:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Tuesday,MISSION,"ARREST, BOOKED",CHULA LN / CHURCH ST,-122.42857815417901,37.7635752197135
2009-07-22 02:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,26TH AV / LAWTON ST,-122.484235580827,37.757635432979
2004-11-09 18:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,MISSION,NONE,200 Block of CLIPPER ST,-122.430547355027,37.7490370173629
2010-08-24 13:10:00,WARRANTS,WARRANT ARREST,Tuesday,MISSION,"ARREST, BOOKED",400 Block of CASTRO ST,-122.43515009981199,37.7617597243598
2014-09-03 13:30:00,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,NORTHERN,NONE,600 Block of LINDEN ST,-122.428666208752,37.7757342027431
2004-03-30 08:50:00,ASSAULT,BATTERY,Tuesday,INGLESIDE,"ARREST, BOOKED",1300 Block of SUNNYDALE AV,-122.41397125736601,37.7114003044694
2012-07-25 13:22:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,BAYVIEW,"ARREST, BOOKED",0 Block of DAKOTA ST,-122.395513264888,37.7536178531447
2010-01-16 11:18:00,ROBBERY,"ROBBERY, BODILY FORCE",Saturday,TARAVAL,COMPLAINANT REFUSES TO PROSECUTE,1200 Block of OCEAN AV,-122.45567852962401,37.7237017394146
2011-07-29 18:02:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Friday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / LEAVENWORTH ST,-122.413869632554,37.7818621883021
2010-04-25 14:30:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,RICHMOND,NONE,800 Block of LA PLAYA ST,-122.509895418239,37.7723131976814
2004-10-15 19:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,INGLESIDE,NONE,200 Block of SENECA AV,-122.443173163766,37.72062517203671
2005-02-22 14:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Tuesday,MISSION,NONE,2500 Block of HARRISON ST,-122.412202536007,37.7566197885385
2008-03-08 22:00:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Saturday,BAYVIEW,NONE,0 Block of HILLVIEW CT,-122.385120101084,37.7354837756996
2014-09-30 22:10:00,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Tuesday,MISSION,"ARREST, CITED",20TH ST / CAPP ST,-122.41796448376002,37.7586968166489
2006-06-13 18:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,INGLESIDE,NONE,RICHLAND AV / MIGUEL ST,-122.426636034449,37.7363217048737
2004-03-02 19:50:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,OLIVE ST / LARKIN ST,-122.41780910310699,37.78470989683871
2006-06-27 12:00:00,BURGLARY,"BURGLARY OF FLAT, FORCIBLE ENTRY",Tuesday,NORTHERN,NONE,500 Block of FELL ST,-122.42690225876001,37.775364687122
2008-01-21 23:32:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,SOUTHERN,"ARREST, CITED",MISSION ST / ANNIE ST,-122.401264374737,37.786851240585
2012-11-30 19:56:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Friday,SOUTHERN,"ARREST, BOOKED",700 Block of TEHAMA ST,-122.41181446706699,37.7751286438667
2007-11-17 22:11:00,OTHER OFFENSES,DEFRAUDING TAXI DRIVER,Saturday,TENDERLOIN,"ARREST, BOOKED",300 Block of EDDY ST,-122.412930522059,37.7838344374141
2005-05-20 23:34:00,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Friday,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.413609328985,37.784696907904
2013-06-24 20:00:00,ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2011-04-06 08:01:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,NORTHERN,NONE,1300 Block of BUSH ST,-122.419508197521,37.78885654213821
2005-10-31 22:30:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,MISSION,NONE,22ND ST / GUERRERO ST,-122.42318069850401,37.75516991691
2007-05-18 17:15:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Friday,MISSION,NONE,3900 Block of CESAR CHAVEZ ST,-122.428173958785,37.747574129818
2010-12-31 19:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,700 Block of 2ND ST,-122.39009898571001,37.7801880882663
2003-04-29 20:45:00,DRUG/NARCOTIC,TRANSPORTATION OF METH-AMPHETAMINE,Tuesday,SOUTHERN,"ARREST, BOOKED",5TH ST / HARRISON ST,-122.40184636752899,37.7790324136022
2010-01-11 16:00:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,NORTHERN,"ARREST, BOOKED",2300 Block of CHESTNUT ST,-122.44201678559999,37.80002781544521
2005-06-01 12:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,TARAVAL,NONE,700 Block of HOLLOWAY AV,-122.460742806233,37.7217780140524
2009-12-26 15:30:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,MISSION,"ARREST, CITED",2000 Block of MARKET ST,-122.426955631709,37.769247063207004
2004-05-12 14:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,SUTTER ST / STOCKTON ST,-122.40695866060899,37.7894347629811
2010-03-25 09:30:00,ASSAULT,THREATS AGAINST LIFE,Thursday,SOUTHERN,NONE,500 Block of NATOMA ST,-122.408298620023,37.7797671147527
2014-03-23 11:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,SOUTHERN,NONE,THE EMBARCADEROSOUTH ST / MARKET ST,-122.39398368522801,37.795060765295
2011-08-26 00:01:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Friday,TENDERLOIN,NONE,100 Block of EDDY ST,-122.41013523637699,37.78418890752671
2005-07-15 14:30:00,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Friday,TENDERLOIN,"ARREST, BOOKED",100 Block of OFARRELL ST,-122.407244087032,37.7865647607685
2014-04-16 19:25:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,TARAVAL,NONE,300 Block of GARCES DR,-122.482455420443,37.716274068328794
2014-02-07 19:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,MISSION,NONE,2400 Block of 23RD ST,-122.404018201143,37.7544790253373
2011-03-07 09:58:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.40953666269199,37.78269112134721
2009-02-16 19:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,10TH ST / HARRISON ST,-122.41127918996901,37.7715785765043
2013-06-11 21:15:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,PARK,NONE,400 Block of PIERCE ST,-122.434135082799,37.774030093363
2006-08-22 09:10:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,BAYVIEW,"ARREST, CITED",PALOU AV / LANE ST,-122.389038124217,37.732919999818
2007-12-25 23:18:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2007-06-11 20:00:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Monday,MISSION,NONE,1100 Block of YORK ST,-122.408195421597,37.7536414673004
2012-05-30 16:51:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,CENTRAL,"ARREST, CITED",100 Block of JACKSON ST,-122.398919477596,37.796953574467004
2013-04-15 12:30:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.40901120663901,37.7811340568243
2011-10-04 18:05:00,TRESPASS,TRESPASSING,Tuesday,NORTHERN,"ARREST, BOOKED",0 Block of GROVE ST,-122.41742986084999,37.7785349354394
2004-01-20 23:00:00,FRAUD,DEFRAUDING AN INNKEEPER,Tuesday,MISSION,"ARREST, CITED",800 Block of SOUTH VAN NESS AV,-122.417016663517,37.7595460924587
2007-10-16 12:15:00,ASSAULT,BATTERY,Tuesday,SOUTHERN,NONE,0 Block of 6TH ST,-122.40994365498001,37.782031248512396
2005-06-17 10:45:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Friday,MISSION,NONE,1600 Block of 15TH ST,-122.42022629018801,37.7665942916839
2003-07-11 13:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,RICHMOND,COMPLAINANT REFUSES TO PROSECUTE,800 Block of LA PLAYA ST,-122.5100335576,37.772306555995605
2005-08-13 01:00:00,ROBBERY,"ROBBERY, BODILY FORCE",Saturday,BAYVIEW,NONE,3RD ST / PALOU AV,-122.390971734594,37.73401521810371
2010-06-19 23:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,TENDERLOIN,NONE,LEAVENWORTH ST / GOLDEN GATE AV,-122.413869632554,37.7818621883021
2012-03-23 22:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,BAYVIEW,NONE,300 Block of BAY SHORE BL,-122.406825183678,37.741054981526
2006-12-16 09:00:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,NORTHERN,NONE,0 Block of FELL ST,-122.418500584434,37.7764380944444
2013-10-06 09:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,6TH ST / BRYANT ST,-122.40252759466499,37.7760382838346
2013-06-02 12:00:00,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Sunday,TARAVAL,NONE,0 Block of LOPEZ AV,-122.462911492297,37.7483308904822
2010-06-18 11:55:00,ASSAULT,THREATS AGAINST LIFE,Friday,MISSION,NONE,2800 Block of 24TH ST,-122.40866468611601,37.7528787651491
2006-08-21 12:00:00,NON-CRIMINAL,FOUND PROPERTY,Monday,INGLESIDE,UNFOUNDED,0 Block of WESTWOOD DR,-122.45878605087098,37.7258082386754
2005-06-04 17:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,NORTHERN,NONE,GOLDEN GATE AV / FRANKLIN ST,-122.422090267894,37.780821970809896
2009-03-02 14:00:00,ASSAULT,THREATS AGAINST LIFE,Monday,INGLESIDE,NONE,5900 Block of MISSION ST,-122.45351566635,37.7085763593082
2006-05-19 03:00:00,ASSAULT,INFLICT INJURY ON COHABITEE,Friday,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / ELLIS ST,-122.414433155063,37.7846576329256
2007-08-21 13:15:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,BAYVIEW,NONE,1600 Block of REVERE AV,-122.390815719788,37.732099514522
2003-07-27 23:34:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,BAYVIEW,"ARREST, BOOKED",JENNINGS ST / EGBERT AV,-122.392612471945,37.722657821774895
2011-02-25 14:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,CENTRAL,NONE,500 Block of GEARY ST,-122.41277729699,37.7868343892701
2008-10-15 14:15:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Wednesday,TENDERLOIN,"ARREST, CITED",HYDE ST / OFARRELL ST,-122.416261836834,37.78537508463761
2013-11-26 08:02:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,RICHMOND,"ARREST, BOOKED",6900 Block of GEARY BL,-122.49385714581999,37.7797805380009
2008-03-07 16:00:00,TRESPASS,TRESPASSING,Friday,INGLESIDE,NONE,1200 Block of BOWDOIN ST,-122.40831078023199,37.7203514651097
2012-11-28 13:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,0 Block of DAKOTA ST,-122.395635436168,37.7535645746594
2004-02-16 14:40:00,DISORDERLY CONDUCT,DISTURBING THE PEACE,Monday,TARAVAL,JUVENILE ADMONISHED,2600 Block of 35TH AV,-122.49259142732201,37.7378009102224
2007-04-03 17:53:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Tuesday,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413237516676,37.78284302332129
2006-05-06 17:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,TARAVAL,NONE,GREAT HWY / SLOAT BL,-122.506714460434,37.735465762973
2011-03-23 21:01:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,INGLESIDE,NONE,MISSION ST / AVALON AV,-122.432449401952,37.72763680824129
2007-08-07 20:15:00,ASSAULT,BATTERY,Tuesday,MISSION,NONE,24TH ST / ALABAMA ST,-122.410962664755,37.752684919614
2008-04-20 13:39:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,PARK,"ARREST, CITED",FULTON ST / PIERCE ST,-122.434865853498,37.7772809749441
2010-11-01 22:30:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,SOUTHERN,NONE,0 Block of VERONA PL,-122.448307079193,37.73565063989479
2005-02-25 09:09:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,Friday,NORTHERN,PSYCHOPATHIC CASE,1200 Block of TURK ST,-122.428818526724,37.7808642652455
2008-11-25 08:30:00,MISSING PERSON,MISSING JUVENILE,Tuesday,NORTHERN,NONE,500 Block of STEINER ST,-122.432494754788,37.7742421037604
2014-12-23 11:30:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2004-10-16 09:00:00,NON-CRIMINAL,AIDED CASE,Saturday,RICHMOND,NONE,0 Block of CORNWALL ST,-122.459708516595,37.784977239288295
2013-10-04 16:24:00,ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Friday,RICHMOND,"ARREST, BOOKED",JOHNFKENNEDY DR / 30TH AV,-122.489804747862,37.770891784884796
2014-06-10 06:12:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,NORTHERN,NONE,2500 Block of BROADWAY ST,-122.439036364592,37.793692889083
2004-03-04 18:14:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Thursday,INGLESIDE,"ARREST, BOOKED",3300 Block of MISSION ST,-122.42164447844699,37.7429970144076
2005-11-14 00:45:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,INGLESIDE,NONE,3400 Block of MISSION ST,-122.42266504778699,37.741419043576
2013-11-12 02:48:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,RICHMOND,"ARREST, BOOKED",700 Block of 6TH AV,-122.46374207011999,37.7744829292216
2015-05-03 23:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,SOUTHERN,NONE,800 Block of HOWARD ST,-122.40389095544501,37.7824014072132
2004-12-10 12:00:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Friday,MISSION,UNFOUNDED,16TH ST / MISSION ST,-122.419671780303,37.7650501214714
2012-02-23 19:15:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,CENTRAL,NONE,1200 Block of UNION ST,-122.419556440443,37.7990795556156
2008-08-05 17:44:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Tuesday,TENDERLOIN,"ARREST, BOOKED",0 Block of UNITEDNATIONS PZ,-122.41431222924,37.77983391835871
2013-12-09 21:23:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,INGLESIDE,NONE,0 Block of JUSTIN DR,-122.422644655212,37.7340952151096
2013-09-03 08:39:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,SOUTHERN,NONE,POWELL ST / MARKET ST,-122.40754585593099,37.784401179486
2014-10-04 22:11:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,PARK,PSYCHOPATHIC CASE,900 Block of CORBETT AV,-122.443543211967,37.7520344922922
2005-08-14 08:30:00,NON-CRIMINAL,LOST PROPERTY,Sunday,MISSION,NONE,23RD ST / MISSION ST,-122.418596727467,37.7538382048546
2006-11-27 09:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,TARAVAL,NONE,2600 Block of SLOAT BL,-122.502601064109,37.7356121084835
2010-12-02 18:38:00,ASSAULT,THREATS AGAINST LIFE,Thursday,MISSION,NONE,3000 Block of 24TH ST,-122.4138307659,37.7525754079659
2008-03-17 10:00:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Monday,MISSION,NONE,2700 Block of 16TH ST,-122.41422270476299,37.76532508532621
2015-04-03 22:20:00,ASSAULT,BATTERY,Friday,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.407845374111,37.7850943210103
2004-11-13 08:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Saturday,TENDERLOIN,NONE,OFARRELL ST / HYDE ST,-122.41626183684099,37.7853750846147
2007-03-21 01:30:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,TENDERLOIN,"ARREST, BOOKED",0 Block of TAYLOR ST,-122.410689907787,37.7824948907735
2006-11-05 13:21:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.40652098714399,37.7850629421661
2012-10-03 19:14:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,3200 Block of 20TH AV,-122.47564746078599,37.7285280627465
2012-10-17 19:27:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,BAYVIEW,JUVENILE CITED,1000 Block of OAKDALE AV,-122.380348349699,37.7288276251864
2007-01-10 14:16:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,MISSION,"ARREST, BOOKED",400 Block of SHOTWELL ST,-122.416070932811,37.76121422366271
2011-09-06 21:35:00,ASSAULT,THREATS AGAINST LIFE,Tuesday,CENTRAL,"ARREST, BOOKED",300 Block of THE EMBARCADERONORTH ST,-122.396374439116,37.79805325280579
2003-08-07 13:40:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,MISSION,NONE,BRYANT ST / MARIPOSA ST,-122.410246127864,37.763030443777104
2006-04-05 00:20:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Wednesday,CENTRAL,NONE,600 Block of FRANCISCO ST,-122.41557882881,37.8044706948304
2008-07-09 05:17:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Wednesday,PARK,NONE,0 Block of CASTRO ST,-122.435637436721,37.7681694346175
2003-02-06 19:00:00,ASSAULT,BATTERY OF A POLICE OFFICER,Thursday,SOUTHERN,"ARREST, CITED",1800 Block of MARKET ST,-122.423715048532,37.7717810622866
2008-03-06 20:44:00,ASSAULT,THREATS AGAINST LIFE,Thursday,BAYVIEW,DISTRICT ATTORNEY REFUSES TO PROSECUTE,2500 Block of MARIN ST,-122.40276741735501,37.7482203413295
2014-05-03 15:00:00,ASSAULT,BATTERY,Saturday,NORTHERN,COMPLAINANT REFUSES TO PROSECUTE,EDDY ST / LAGUNA ST,-122.427400263419,37.7820565475813
2011-02-26 19:30:00,ASSAULT,BATTERY,Saturday,SOUTHERN,NONE,1200 Block of MISSION ST,-122.414457764634,37.7765080370233
2008-05-30 21:43:00,ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Friday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2006-06-18 21:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,TARAVAL,NONE,200 Block of RALSTON ST,-122.46899941712,37.717012889076
2011-05-17 19:30:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,NORTHERN,NONE,2700 Block of GREEN ST,-122.444425276665,37.79505516055529
2005-12-18 22:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,1100 Block of MASON ST,-122.411163052026,37.793871340549
2005-02-08 23:00:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE,6TH ST / MARKET ST,-122.41029351969699,37.7822305869807
2009-02-03 10:39:00,ROBBERY,"ROBBERY, BODILY FORCE",Tuesday,MISSION,NONE,3300 Block of 24TH ST,-122.41929549311399,37.752132345798
2010-10-07 19:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,200 Block of 3RD ST,-122.399899436982,37.7846480308387
2013-11-29 17:34:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, CITED",FOLSOM ST / 5TH ST,-122.40339036479601,37.7802655777189
2005-08-10 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,0 Block of GOUGH ST,-122.420755115779,37.772018218682796
2005-05-21 12:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Saturday,TARAVAL,"ARREST, BOOKED",1600 Block of OCEAN AV,-122.45956459533701,37.7246926893786
2005-08-24 13:30:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Wednesday,NORTHERN,"ARREST, BOOKED",1300 Block of WEBSTER ST,-122.431046366089,37.7830295716044
2010-09-10 02:43:00,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Friday,BAYVIEW,NONE,1200 Block of 4TH ST,-122.391397033631,37.7723509714232
2003-11-11 17:33:00,OTHER OFFENSES,RESISTING ARREST,Tuesday,BAYVIEW,"ARREST, BOOKED",1200 Block of FITZGERALD AV,-122.39221691150401,37.721560203650796
2015-03-30 08:00:00,MISSING PERSON,MISSING ADULT,Monday,TENDERLOIN,NONE,100 Block of LEAVENWORTH ST,-122.41402982172701,37.7823291237659
2009-05-31 13:20:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,BAYVIEW,"ARREST, CITED",CESAR CHAVEZ ST / VERMONT ST,-122.402868034981,37.7494783929125
2013-11-17 01:00:00,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Sunday,MISSION,"ARREST, BOOKED",2800 Block of 23RD ST,-122.40973144589898,37.7543147482584
2005-06-18 23:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,SOUTHERN,NONE,1ST ST / HARRISON ST,-122.392940948704,37.7860677021294
2008-10-18 18:30:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Saturday,SOUTHERN,"ARREST, BOOKED",700 Block of CLEMENTINA ST,-122.411356634079,37.7747632385271
2013-02-04 19:53:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Monday,MISSION,"ARREST, BOOKED",2600 Block of MISSION ST,-122.418738265772,37.7546172382083
2003-03-04 00:01:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,RICHMOND,NONE,GEARY BL / 20TH AV,-122.479384039748,37.780332697223294
2004-07-07 10:05:00,NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Wednesday,CENTRAL,NONE,600 Block of MONTGOMERY ST,-122.403112031242,37.794875133649704
2008-08-23 00:03:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Saturday,MISSION,"ARREST, BOOKED",MISSION ST / 16TH ST,-122.419671780296,37.7650501214668
2013-01-22 15:30:00,ASSAULT,ASSAULT,Tuesday,TARAVAL,PSYCHOPATHIC CASE,1700 Block of EUCALYPTUS DR,-122.490136402845,37.7311427912353
2011-03-12 19:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,NORTHERN,NONE,HICKORY ST / FRANKLIN ST,-122.42105431172199,37.7756938836734
2013-03-07 19:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,300 Block of EUCALYPTUS DR,-122.476383904851,37.7310536423783
2009-04-28 13:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,100 Block of KEARNY ST,-122.40363527458,37.7891367799941
2013-06-16 01:15:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,CENTRAL,"ARREST, BOOKED",0 Block of CAMPTON PL,-122.406092233116,37.7891339284094
2003-06-01 14:00:00,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Sunday,BAYVIEW,PROSECUTED BY OUTSIDE AGENCY,600 Block of VERMONT ST,-122.40426442135201,37.7614567978278
2003-09-16 19:50:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,MISSION,"ARREST, BOOKED",400 Block of TREAT AV,-122.41388162700198,37.7629857639619
2005-10-05 18:15:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,TENDERLOIN,NONE,ELLIS ST / POWELL ST,-122.407854234545,37.78549220443721
